Switching to manual mode
Spinning up fans...
Collecting RPM information:
1 25 0
0 24 840
1 24 0
0 23 840
1 23 0
0 22 780
1 22 0
0 21 720
1 21 0
0 20 660
1 20 0
0 19 600
1 19 0
0 18 540
1 18 0
0 17 480
1 17 0
0 16 0
1 16 0
0 15 0
1 15 0
0 14 0
1 14 0
0 13 0
1 13 0
0 12 0
1 12 0
0 11 0
1 11 0
0 10 0
1 10 0
0 9 0
1 9 0
0 8 0
1 8 0
0 7 0
1 7 0
0 6 0
1 6 0
0 5 0
1 5 0
0 4 0
1 4 0
0 3 0
1 3 0
0 2 0
1 2 0
0 1 0
1 1 0
Searching for lowest speed where fans spin up
17 {0: 255, 1: 255}
18 {0: 255, 1: 255}
19 {0: 255, 1: 255}
20 {0: 255, 1: 255}
21 {0: 255, 1: 255}
22 {0: 22, 1: 255}
23 {0: 22, 1: 255}
24 {0: 22, 1: 255}
25 {0: 22, 1: 255}
26 {0: 22, 1: 255}
27 {0: 22, 1: 255}
28 {0: 22, 1: 255}
29 {0: 22, 1: 255}
30 {0: 22, 1: 255}
31 {0: 22, 1: 255}
32 {0: 22, 1: 255}
33 {0: 22, 1: 255}
34 {0: 22, 1: 255}
35 {0: 22, 1: 255}
36 {0: 22, 1: 255}
37 {0: 22, 1: 255}
38 {0: 22, 1: 255}
39 {0: 22, 1: 255}
40 {0: 22, 1: 255}
41 {0: 22, 1: 255}
42 {0: 22, 1: 255}
43 {0: 22, 1: 255}
44 {0: 22, 1: 255}
45 {0: 22, 1: 255}
46 {0: 22, 1: 255}
47 {0: 22, 1: 255}
48 {0: 22, 1: 255}
49 {0: 22, 1: 255}
50 {0: 22, 1: 255}
51 {0: 22, 1: 255}
52 {0: 22, 1: 255}
53 {0: 22, 1: 255}
54 {0: 22, 1: 255}
55 {0: 22, 1: 255}
56 {0: 22, 1: 255}
57 {0: 22, 1: 255}
58 {0: 22, 1: 255}
59 {0: 22, 1: 255}
60 {0: 22, 1: 60}
Fan model data:
0: (-0.06281x^2 +48.74x -165.9, 17, 22, 8400),
1: (-0.06986x^2 +55.55x -2246, 56, 60, 8280),
Switching back to automatic mode
